# ------------------------------------------------
# Datos sobre los asientos
# ------------------------------------------------
n=6
m=7
distFilas=1.1
distColumnas=1.1
# ------------------------------------------------
# Las lineas que empiezan con + son personas con COVID
# ------------------------------------------------
+4,3
+1,2
+1,6
+2,3
# ------------------------------------------------
# Las lineas que empiezan con - son personas sanas
# ------------------------------------------------
-4,5
-2,2
-5,6
-2,4
-4,6
-4,4
-4,1
-1,4
-3,2
-3,4
